,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
0,קרייזלר גראנד וויאג'ר,2012,3,3604,"50,000 ₪","198,000",בנזין,אוטומט,אפור,05/2012,05/2023,פרטית,פרטית,לא,לא,15,עפולה,
1,סובארו B3 האצ'בק,2008,2,1498,"14,000 ₪","207,000",בנזין,אוטומט,שחור מטאלי,01/2008,01/2023,פרטית,פרטית,כן,לא,15,שחר,
2,סוזוקי SX4 קרוסאובר,2018,2,1373,"85,000 ₪","86,848",בנזין,אוטומט,לבן,02/2018,02/2022,פרטית,ליסינג,לא,לא,8,פתח תקווה,
3,יונדאי אקסנט (עד 2012),2009,3,1399,"13,000 ₪","143,000",בנזין,אוטומט,כסוף,,04/2022,פרטית,פרטית,לא,לא,15,אשקלון,
4,אאודי A5,2020,2,1984,"241,000 ₪","19,000",בנזין,אוטומט,לבן,01/2020,,פרטית,פרטית,לא,לא,11,אשקלון,
5,סוזוקי אלטו,2012,3,996,"17,500 ₪","179,000",בנזין,אוטומט,כסוף,04/2012,04/2022,פרטית,השכרה,לא,לא,9,כעביה טבאש חג'אג'רה,
6,מאזדה 3,2005,3,1999,"17,000 ₪","105,000",בנזין,אוטומט,אפור,10/2005,10/2022,פרטית,פרטית,לא,לא,15,תל אביב יפו,
7,ב.מ.וו i8,2017,5,1499,"415,000 ₪","58,000",היברידי חשמל / בנזין,אוטומט,שחור,,01/2023,פרטית,פרטית,לא,לא,2,הרצליה,
8,מאזדה 5,2012,4,1999,"36,600 ₪","192,000",בנזין,אוטומט,כחול בהיר מטאלי,07/2012,07/2022,פרטית,ליסינג,לא,לא,15,נתניה,
9,מאזדה 5,2006,4,1999,"16,500 ₪","202,000",בנזין,אוטומט,בורדו מטאלי,,07/2022,פרטית,פרטית,לא,לא,NaN,קרית גת,
10,סיטרואן C4,2015,2,1199,"33,000 ₪","115,000",בנזין,אוטומט,אפור מטאלי,11/2015,11/2022,פרטית,פרטית,לא,לא,12,כפר טרומן,
11,סיאט איביזה,2012,5,1390,לא צוין מחיר,"139,000",בנזין,אוטומט,אדום מטאלי,10/2012,10/2022,פרטית,פרטית,לא,לא,14,נצרת,
12,סוזוקי סוויפט,2017,2,1242,"65,000 ₪","51,200",בנזין,אוטומט,אדום,07/2017,07/2022,פרטית,חברה,לא,לא,9,בת ים,
13,מאזדה 5,2008,2,1999,"20,000 ₪","230,000",בנזין,אוטומט,כחול כהה,,12/2021,פרטית,ליסינג,כן,לא,15,רמלה,
14,סיטרואן C4 פיקאסו,2012,3,1598,"10,000 ₪","140,000",בנזין,רובוטית,כחול כהה מטאלי,,12/2022,פרטית,ליסינג,לא,לא,15,אשקלון,
15,פורשה 718 קאיימן,2018,2,1988,"400,000 ₪","74,000",בנזין,אוטומט,כסוף מטאלי,02/2018,02/2022,פרטית,פרטית,לא,לא,15,צור הדסה,
16,קיה ריו,2009,3,1399,"13,000 ₪","172,000",בנזין,אוטומט,תכלת,05/2009,05/2022,פרטית,פרטית,לא,לא,14,ירושלים,
17,מאזדה 3,2008,2,1598,"18,500 ₪","198,800",בנזין,אוטומט,כסף מטלי,07/2008,07/2022,פרטית,פרטית,כן,לא,15,טבריה,
