,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד,תאריך עליה לכביש
158,רנו פלואנס,2011,3,1461,"13,800 ₪","350,000",דיזל,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,15,ירושלים,12/2021,12/2011
159,קיה סיד / CEED,2015,4,1591,"48,500 ₪","172,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,13,רגבה,02/2022,02/2015
160,פולקסווגן גולף,2008,2,1390,"15,000 ₪","196,000",בנזין,אוטומט,אדום מטאלי,פרטית,פרטית,לא,לא,NaN,חיפה,12/2021,01/2008
161,יונדאי אלנטרה (2016 ואילך),2016,2,1591,לא צוין מחיר,"162,000",בנזין,אוטומט,כסוף,פרטית,השכרה,לא,לא,13,אשדוד,,01/2016
162,סוזוקי אלטו,2013,2,996,"25,000 ₪","155,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,לא,לא,9,ירושלים,06/2022,02/2013
163,מרצדס CLA,2020,1,1332,"238,000 ₪","22,000",בנזין,אוטומט,לבן,פרטית,,לא,לא,9,באר יעקב,06/2022,06/2020
164,סקודה סופרב (עד 2019),2010,3,1798,"28,000 ₪","196,000",בנזין,אוטומט,ברונזה,פרטית,פרטית,לא,לא,15,כרמיאל,10/2022,10/2010
165,קרייזלר גראנד וויאג'ר,2012,3,3604,"46,000 ₪","240,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,15,ירושלים,05/2022,05/2012
166,יגואר X-Type,2008,3,2495,"36,000 ₪","190,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,15,זכרון יעקב,10/2022,10/2008
167,יונדאי סונטה הייבריד,2017,2,1999,"102,000 ₪","76,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,3,בני ברק,01/2022,01/2017
168,מאזדה 6,2009,2,1999,"20,000 ₪","170,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,15,כפר סבא,07/2022,07/2009
169,מרצדס E-Class Taxi,2016,2,2143,"85,000 ₪","368,000",דיזל,אוטומט,לבן,פרטית,מונית,לא,לא,14,באר שבע,01/2022,01/2016
170,מאזדה 626,2000,1,1991,"7,000 ₪","270,000",בנזין,אוטומט,כחול,פרטית,,לא,לא,NaN,צור יצחק,12/2021,12/2000
171,מאזדה 3,2012,2,1598,"22,000 ₪","300,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,15,כרמיאל,10/2022,11/2012
172,פולקסווגן ג'טה,2017,1,1395,"65,000 ₪","1,005",בנזין,אוטומט,לבן מטאלי,פרטית,,לא,לא,7,בועיינה נוג'יידאת,03/2022,03/2017
173,סיאט לאון,2020,1,1498,לא צוין מחיר,"36,000",בנזין,אוטומט,שחור,פרטית,,לא,לא,4,כפר בן נון,,02/2020
174,הונדה סיוויק האצ'בק החדשה,2019,1,1498,"105,000 ₪","27,000",בנזין,אוטומט,לבן,פרטית,,לא,לא,4,שבלי,07/2022,07/2019
175,פולקסווגן ג'טה,2011,3,1390,"26,000 ₪","115,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,כן,לא,15,קרית אתא,06/2022,06/2011
176,קיה אופטימה / Optima,2015,2,1998,"69,000 ₪","130,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,לא,לא,15,עפולה,03/2022,03/2015
177,טויוטה קורולה,2016,2,1598,"62,000 ₪","170,000",בנזין,אוטומט,לבן פנינה,ליסינג,פרטית,לא,לא,7,יפיע,05/2022,05/2016
178,שברולט מאליבו,2008,5,3510,"13,500 ₪","250,000",בנזין,אוטומט,כחול מטאלי,פרטית,פרטית,לא,לא,15,באר שבע,,
179,סיטרואן C5,2010,3,1997,"12,000 ₪","258,000",בנזין,אוטומט,כחול כהה מטאלי,פרטית,פרטית,לא,לא,15,עפולה,12/2022,09/2010
180,לקסוס IS300h,2016,2,2494,"90,000 ₪","215,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,4,כפר סבא,07/2022,07/2016
181,סיאט איביזה,2011,3,1197,"29,000 ₪","117,600",בנזין,ידנית,אפור מטאלי,פרטית,פרטית,לא,לא,14,ירושלים,09/2022,09/2011
182,שברולט אופטרה,2005,3,1598,"4,700 ₪","288,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,15,ירושלים,12/2021,
183,פורד פוקוס,2013,2,1596,"17,000 ₪","270,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,14,קרית שמונה,01/2023,01/2013
184,ב.מ.וו סדרה 1,2008,5,1995,לא צוין מחיר,"1,999",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,כן,לא,15,כרמיאל,,12/2008
185,ב.מ.וו סדרה 3 קופה / קבריולט,2000,10,1991,"45,000 ₪","56,000",בנזין,אוטומט,כחול מטאלי,ייבוא אישי,פרטית,כן,לא,NaN,ירושלים,02/2022,02/2000
186,דודג' ג'רני,2011,3,2360,"39,000 ₪","139,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,15,כרמיאל,,
187,מאזדה 6,2010,3,2488,"35,000 ₪","195,000",בנזין,אוטומט,כתום,פרטית,פרטית,כן,לא,15,חיפה,12/2022,12/2010
188,פולקסווגן פולו GTI,2011,1,1390,לא צוין מחיר,202,בנזין,אוטומט,שחור,פרטית,,לא,לא,15,טבריה,09/2022,09/2011
189,פולקסווגן ג'טה,2014,2,1197,לא צוין מחיר,"240,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,7,אום אל פחם,07/2022,07/2014
190,יונדאי i30,2013,3,1591,"37,000 ₪","149,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,14,באר שבע,05/2022,09/2013
191,מרצדס E-Class,2007,5,3498,"47,000 ₪","245,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,NaN,נצרת,10/2022,10/2007
192,מרצדס C-Class,2017,4,1595,"173,000 ₪","70,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,14,נתניה,01/2023,01/2017
193,טויוטה אוונסיס,2013,2,1987,"37,500 ₪","150,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,14,פקיעין,01/2023,01/2013
194,פולקסווגן ג'טה,2011,4,1595,"17,000 ₪","250,000",בנזין,אוטומט,כסוף,פרטית,פרטית,לא,לא,15,עפולה,02/2022,02/2011
195,סיאט לאון,2010,5,1197,"27,000 ₪","164,000",בנזין,ידנית,שחור,פרטית,פרטית,לא,לא,15,נצרת עילית / נוף הגליל,,
196,סקודה ראפיד,2015,2,1395,"44,500 ₪","135,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,12,פתח תקווה,11/2022,11/2015
197,אופל קורסה,2011,5,1398,"13,000 ₪","140,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,13,פתח תקווה,02/2022,02/2011
198,פולקסווגן טוראן,2009,5,1390,"18,000 ₪","240,000",בנזין,אוטומט,אפור,פרטית,פרטית,לא,לא,15,בני ברק,03/2022,03/2009
199,וולוו S60,2009,3,2435,"32,000 ₪","73,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,15,חולון,09/2022,09/2009
200,מרצדס S-Class קופה,2017,2,5461,לא צוין מחיר,"54,000",בנזין,אוטומט,שמפניה,פרטית,פרטית,לא,לא,15,באר שבע,08/2022,08/2017
201,סקודה רומסטר,2015,2,1197,"33,000 ₪","130,000",בנזין,אוטומט,כסף מטלי,פרטית,פרטית,לא,לא,14,קרית ביאליק,11/2022,
202,טויוטה קורולה,2010,3,1598,"34,000 ₪","160,000",בנזין,אוטומט,שחור,פרטית,פרטית,כן,לא,14,אום אל פחם,06/2022,06/2010
203,סיאט איביזה,2015,1,1197,"55,000 ₪","98,000",בנזין,אוטומט,בורדו מטאלי,פרטית,,לא,לא,11,עספיא,01/2023,01/2015
204,מאזדה 3,2011,3,1598,"37,000 ₪","92,586",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,15,חיפה,11/2022,01/2011
205,סקודה סופרב (עד 2019),2016,2,1984,"145,000 ₪","88,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,לא,14,ירושלים,10/2022,10/2016
206,מרצדס CLS,2015,4,3498,"255,000 ₪","60,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,כן,לא,15,קרית אתא,05/2022,05/2015
207,אאודי A6,2016,2,2995,לא צוין מחיר,"90,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,כן,13,כפר קרע,05/2022,05/2016
208,ביואיק לה קרוס,2008,4,3791,"26,000 ₪","118,000",בנזין,אוטומט,כסוף,פרטית,פרטית,לא,לא,15,אשקלון,11/2022,11/2008
209,טויוטה יאריס,2007,2,1298,"15,000 ₪","270,000",בנזין,רובוטית,אפור,פרטית,פרטית,לא,לא,NaN,רחובות,08/2022,
210,סקודה סופרב (עד 2019),2016,2,1798,"95,000 ₪","125,000",בנזין,אוטומט,ברונזה מטאלי,פרטית,פרטית,לא,לא,14,דייר חנא,03/2022,03/2016
211,שברולט קרוז,2015,2,1362,"34,000 ₪","150,000",בנזין,אוטומט,אדום מטאלי,פרטית,פרטית,לא,לא,14,חולון,11/2022,11/2015
212,סקודה רומסטר,2011,2,1598,"11,500 ₪","260,000",בנזין,טיפטרוניק,כסוף,פרטית,ליסינג,לא,לא,14,דייר חנא,02/2022,02/2011
213,רנו מגאן גראנד קופה,2021,1,1461,לא צוין מחיר,"12,500",דיזל,אוטומט,שחור מטאלי,פרטית,,לא,לא,6,באר שבע,05/2022,05/2021
214,מיצובישי ספייס וואגן,2002,2,2351,לא צוין מחיר,"209,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,NaN,אשקלון,02/2022,
215,פולקסווגן שירוקו,2014,2,1390,"68,000 ₪","127,000",בנזין,ידנית,לבן,פרטית,פרטית,לא,לא,15,ראשון לציון,10/2021,10/2014
