,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
156,פורד פוקוס,2007,3,1596,"7,500 ₪","220,000",בנזין,אוטומט,אפור מטאלי,,07/2022,פרטית,לא,לא,15,הרצליה,השכרה,
157,סקודה ייטי / Yeti,2016,1,1395,"69,500 ₪","89,600",בנזין,אוטומט,אפור עכבר,08/2016,11/2022,פרטית,לא,לא,13,תל אביב יפו,,
158,סוזוקי אלטו,2012,3,996,"13,000 ₪","225,000",בנזין,ידנית,לבן,,,פרטית,לא,לא,6,ג'דידה מכר,פרטית,
159,ניסאן קשקאי,2016,1,1197,"55,000 ₪","138,000",בנזין,אוטומט,כסף מטלי,02/2016,02/2022,פרטית,לא,לא,12,מבשרת ציון,,
160,סוזוקי איגניס,2005,4,1328,"12,000 ₪","170,000",בנזין,אוטומט,כסף מטלי,,12/2022,פרטית,לא,לא,NaN,כפר יהושע,פרטית,
161,אופל אסטרה,2017,1,1399,"53,000 ₪","128,000",בנזין,אוטומט,לבן מטאלי,10/2017,10/2022,ליסינג,כן,לא,10,כפר יונה,,מוטודיל
162,טויוטה קאמרי,2010,2,2362,"40,000 ₪","140,000",בנזין,אוטומט,כסוף,09/2010,09/2022,פרטית,לא,לא,15,ירושלים,פרטית,
163,קיה פיקנטו,2013,1,1248,"38,000 ₪","95,000",בנזין,אוטומט,לבן,06/2013,06/2022,פרטית,לא,לא,6,באר יעקב,,
164,הונדה סיוויק (עד 2006),2006,3,1590,"15,000 ₪","190,000",בנזין,אוטומט,ירוק,,12/2023,פרטית,לא,לא,NaN,בית שמש,פרטית,
165,יונדאי גטס,2008,5,1399,"11,500 ₪","168,000",בנזין,אוטומט,תכלת,,07/2022,פרטית,לא,לא,14,ראש העין,פרטית,
166,רנו מגאן דור 2 (2004-2010),2009,3,1598,"4,800 ₪","190,000",בנזין,אוטומט,זהב מטאלי,02/2009,04/2022,פרטית,לא,לא,15,ביתר עילית,פרטית,
167,ניסאן קשקאי,2019,1,1332,"135,000 ₪","35,000",בנזין,אוטומט,לבן פנינה,05/2019,05/2022,פרטית,לא,לא,12,מבשרת ציון,,
168,סקודה ייטי / Yeti,2012,3,1197,"28,000 ₪","300,000",בנזין,ידנית,חום,,,פרטית,כן,לא,15,כנות,פרטית,
169,טויוטה קורולה הייבריד,2019,1,1798,"120,000 ₪","28,500",בנזין,אוטומט,כסוף,03/2019,04/2022,פרטית,לא,לא,3,רחובות,,
170,וולוו S60,2013,2,1969,"45,000 ₪","172,000",בנזין,אוטומט,שחור מטאלי,06/2013,06/2022,פרטית,לא,לא,15,ירושלים,פרטית,
171,מרצדס S-Class,2011,3,5462,"135,000 ₪",250,בנזין,אוטומט,לבן פנינה,,,פרטית,לא,לא,15,עתלית,פרטית,
172,הונדה סיוויק סדאן החדשה,2010,2,1799,"33,500 ₪","149,000",בנזין,אוטומט,אפור,06/2010,06/2022,פרטית,לא,לא,14,אור עקיבא,פרטית,
173,סקודה אוקטביה,2013,3,1197,"36,000 ₪","114,312",בנזין,אוטומט,שמפניה,05/2013,05/2022,פרטית,לא,לא,14,דימונה,פרטית,
174,טויוטה יאריס,2002,4,1298,"4,000 ₪","270,000",בנזין,אוטומט,זהב,08/2002,08/2022,פרטית,לא,לא,NaN,חדרה,פרטית,
175,שברולט אימפלה,2014,3,3564,"80,000 ₪","119,800",בנזין,אוטומט,שחור מטאלי,07/2014,07/2022,פרטית,לא,לא,15,תל אביב יפו,פרטית,
176,טויוטה קורולה,2008,2,1598,"15,000 ₪","250,000",בנזין,רובוטית,כחול,,,פרטית,כן,לא,15,באר שבע,פרטית,
177,מאזדה 3,2010,4,1999,"29,500 ₪","205,000",בנזין,אוטומט,אפור,,01/2022,פרטית,לא,לא,15,הרצליה,פרטית,
178,מרצדס S-Class,2010,5,3498,"105,000 ₪","125,000",בנזין,אוטומט,שחור מטאלי,04/2010,04/2022,פרטית,לא,לא,15,אשדוד,פרטית,
179,אאודי A3,2021,1,1498,"240,000 ₪","4,000",בנזין,אוטומט,שחור,08/2021,08/2022,פרטית,לא,לא,6,נתיבות,,
180,הונדה סיוויק (עד 2006),2005,3,1590,"9,800 ₪","240,000",בנזין,אוטומט,כסוף,02/2005,02/2023,פרטית,לא,לא,NaN,ירושלים,פרטית,
181,פיג'ו 407,2008,3,1997,"8,000 ₪","137,000",בנזין,אוטומט,כחול מטאלי,,07/2022,פרטית,לא,לא,15,הר אדר,ליסינג,
182,טויוטה יאריס הייבריד,2012,2,1497,"40,000 ₪","166,600",בנזין,אוטומט,לבן מטאלי,,09/2022,פרטית,לא,לא,2,מודיעין עילית,פרטית,
183,רנו קליאו דור 3 (2006-2014),2011,2,1149,"16,000 ₪","190,000",בנזין,ידנית,לבן פנינה,11/2011,11/2022,פרטית,לא,לא,15,חצור הגלילית,פרטית,
184,ביואיק לה קרוס,2013,3,3564,"50,000 ₪","160,000",בנזין,אוטומט,לבן שנהב,08/2013,09/2022,פרטית,לא,לא,15,באר שבע,פרטית,
185,סקודה סופרב (עד 2019),2011,4,1798,"25,000 ₪","190,000",בנזין,אוטומט,בז' מטאלי,,01/2022,פרטית,כן,לא,15,באר שבע,פרטית,
186,הונדה FR-V,2009,3,1799,"32,000 ₪","195,000",בנזין,אוטומט,ברונזה,04/2009,04/2022,פרטית,לא,לא,15,ירושלים,פרטית,
187,סובארו אימפרזה ניו אייג',2006,3,1597,"7,000 ₪","173,000",בנזין,אוטומט,אפור מטאלי,10/2006,07/2022,פרטית,כן,לא,NaN,מעלה אדומים,פרטית,
188,מאזדה 6,2011,4,1998,"28,000 ₪","143,000",בנזין,אוטומט,שחור מטאלי,04/2011,04/2022,פרטית,לא,לא,12,אלעד,פרטית,
189,יונדאי גטס,2006,6,1399,"5,500 ₪","206,900",בנזין,אוטומט,אפור,01/2006,,פרטית,לא,לא,NaN,רחובות,פרטית,
190,אאודי A4,2007,5,1984,"7,500 ₪","172,000",בנזין,אוטומט,כחול בהיר,05/2007,,פרטית,לא,לא,NaN,באר שבע,פרטית,
191,סיטרואן C4,2012,2,1598,"16,000 ₪","160,000",בנזין,אוטומט,כסוף מטאלי,,12/2022,פרטית,לא,לא,15,אחוזת ברק,פרטית,
192,יונדאי i20,2019,1,998,"80,000 ₪","75,000",בנזין,אוטומט,לבן מטאלי,04/2019,04/2022,פרטית,לא,לא,6,באר שבע,,
193,מרצדס CLA,2021,1,1332,"339,900 ₪","19,000",היברידי חשמל / בנזין,אוטומט,לבן מטאלי,08/2021,08/2022,פרטית,לא,לא,9,נתניה,,
194,קיה ריו,2009,2,1399,"9,000 ₪","220,000",בנזין,אוטומט,זהב מטאלי,11/2009,10/2022,פרטית,לא,כן,14,באר שבע,פרטית,
195,ב.מ.וו סדרה 3,2012,5,1997,"58,000 ₪","10,000",בנזין,אוטומט,לבן פנינה,07/2012,07/2022,פרטית,כן,לא,15,רחובות,פרטית,
196,מאזדה 3,2014,2,1998,"52,000 ₪","214,000",בנזין,אוטומט,לבן,04/2014,04/2022,פרטית,לא,לא,10,אשדוד,פרטית,
197,מיצובישי אטראז',2014,1,1193,"25,900 ₪","180,000",בנזין,אוטומט,לבן פנינה,01/2014,07/2022,פרטית,לא,לא,4,מודיעין עילית,,
198,יונדאי i10,2016,1,1248,לא צוין מחיר,"90,413",בנזין,אוטומט,כתום,11/2016,11/2022,פרטית,לא,לא,11,פתח תקווה,,סגל סער ציוד ורכב
199,סוזוקי אלטו,2014,3,996,לא צוין מחיר,"130,000",בנזין,ידנית,אפור,,06/2022,פרטית,לא,לא,9,אריאל,פרטית,
200,סיטרואן C4,2011,2,1598,לא צוין מחיר,"124,000",בנזין,אוטומט,אדום,06/2011,06/2022,פרטית,לא,לא,15,ירושלים,פרטית,
201,פורד פוקוס,2014,2,1999,"30,000 ₪",150,בנזין,אוטומט,אפור מטאלי,12/2014,02/2023,פרטית,לא,לא,15,"בסמ""ה",פרטית,
202,סקודה אוקטביה,2017,2,1395,"78,000 ₪","122,000",בנזין,אוטומט,לבן מטאלי,11/2017,11/2022,פרטית,לא,לא,11,לוד,ליסינג,
203,לנד רובר ריינג' רובר איווק,2018,2,1999,"245,000 ₪","40,000",בנזין,אוטומט,לבן,,,פרטית,לא,לא,15,קרית אתא,פרטית,
204,אאודי A8,2011,1,4163,לא צוין מחיר,"150,000",בנזין,אוטומט,לבן,01/2011,01/2022,פרטית,לא,לא,15,ירושלים,,
205,יונדאי גטס,2009,3,1399,"12,000 ₪","166,200",בנזין,אוטומט,אפור,05/2009,05/2022,פרטית,לא,לא,14,כפר סבא,השכרה,
206,פורד מוסטנג,2021,1,5038,"495,000 ₪","8,000",בנזין,אוטומט,שחור מטאלי,03/2021,01/2023,פרטית,לא,לא,15,ירושלים,,
207,אופל אינסיגניה,2015,2,1598,"49,900 ₪","101,000",בנזין,אוטומט,שחור מטאלי,06/2015,06/2022,פרטית,לא,לא,15,באר שבע,ליסינג,
208,מרצדס E-Class,2021,1,1991,"385,000 ₪","8,000",היברידי חשמל / בנזין,אוטומט,שחור,01/2021,,פרטית,לא,לא,2,תל אביב יפו,,
209,קיה סיד / CEED,2014,2,1591,לא צוין מחיר,"165,000",בנזין,אוטומט,לבן,01/2014,09/2022,פרטית,לא,לא,13,עפולה,ליסינג,
210,רנו קליאו דור 4 (2013-2019),2015,2,898,"26,500 ₪","110,000",בנזין,ידנית,לבן פנינה,,11/2022,פרטית,לא,לא,10,תל אביב יפו,פרטית,
211,מאזדה 3,2015,2,1496,"57,000 ₪","110,000",בנזין,אוטומט,שחור,06/2015,06/2022,פרטית,לא,לא,11,נתניה,ליסינג,
212,פיג'ו 207,2011,2,1598,"12,500 ₪","103,500",בנזין,אוטומט,אפור מטאלי,06/2011,06/2022,פרטית,לא,לא,15,תל אביב יפו,פרטית,
213,רנו קליאו דור 5 (2019 ואילך),2020,1,1332,"105,000 ₪","17,000",בנזין,אוטומט,כתום,01/2020,01/2023,פרטית,לא,לא,9,רמת גן,,
214,שברולט טראוורס,2014,2,3564,"89,000 ₪","216,000",בנזין,אוטומט,בז' מטאלי,10/2014,10/2022,פרטית,לא,לא,15,יבנה,פרטית,
215,מאזדה 3,2020,2,1998,"129,000 ₪","18,000",בנזין,אוטומט,לבן פנינה,04/2020,04/2022,פרטית,כן,לא,11,נתניה,פרטית,
216,סקודה אוקטביה,2015,3,1598,"35,000 ₪","440,000",דיזל,ידנית,לבן,08/2015,08/2022,פרטית,לא,לא,15,צפת,מונית,
217,פיג'ו 3008,2018,1,1560,"120,000 ₪","50,000",דיזל,אוטומט,לבן פנינה,06/2018,06/2022,פרטית,לא,לא,10,אשקלון,,
218,טויוטה C-HR,2020,1,1798,"140,000 ₪","28,000",בנזין,אוטומט,לבן פנינה,07/2020,,פרטית,לא,לא,2,נתניה,,
219,סקודה קודיאק,2017,2,1395,"116,000 ₪","116,000",בנזין,אוטומט,כסוף מטאלי,07/2017,07/2022,פרטית,לא,לא,11,חדרה,פרטית,
220,סיאט מי / MII,2013,3,999,"17,500 ₪","137,000",בנזין,ידנית,לבן,,07/2022,פרטית,לא,לא,7,כרמיאל,פרטית,
221,מרצדס CLA,2017,2,1595,"160,000 ₪","90,000",בנזין,אוטומט,לבן מטאלי,01/2017,01/2023,פרטית,כן,לא,9,ירכא,פרטית,
222,קיה סורנטו,2013,1,2359,לא צוין מחיר,"125,000",בנזין,אוטומט,אפור עכבר,,,פרטית,לא,לא,15,זרזיר,,
223,סקודה אוקטביה RS,2020,1,1984,"230,000 ₪","22,000",בנזין,אוטומט,לבן,01/2020,01/2023,פרטית,לא,לא,11,באר שבע,,
224,אאודי A3,2010,3,1798,לא צוין מחיר,"135,000",בנזין,אוטומט,שחור,11/2010,12/2022,פרטית,לא,כן,15,נתניה,פרטית,
225,סקודה אוקטביה,2016,2,1395,"61,000 ₪","160,000",בנזין,אוטומט,אפור מטאלי,07/2016,07/2022,פרטית,לא,לא,9,חצור הגלילית,פרטית,
226,סיאט איביזה,2013,2,1390,"19,000 ₪","180,000",בנזין,ידנית,לבן,06/2013,06/2022,פרטית,לא,לא,12,שקד,פרטית,
227,פורשה קאיין,2013,2,2967,"150,000 ₪","240,000",דיזל,אוטומט,שחור,,05/2022,פרטית,לא,לא,15,מעלות תרשיחא,פרטית,
228,טויוטה יאריס הייבריד,2021,1,1490,"120,000 ₪","23,000",בנזין,אוטומט,אדום מטאלי,02/2021,02/2022,פרטית,לא,לא,2,צרופה,,
229,ב.מ.וו סדרה 3 קופה / קבריולט,2010,4,2497,לא צוין מחיר,"177,000",בנזין,אוטומט,שחור מטאלי,08/2010,08/2022,פרטית,לא,לא,15,נצרת עילית / נוף הגליל,פרטית,
230,הונדה אינסייט,2012,3,1339,"31,000 ₪","230,000",בנזין,אוטומט,לבן מטאלי,10/2012,10/2022,פרטית,לא,לא,4,עמנואל,ליסינג,
231,אאודי Q7,2018,1,2967,"345,000 ₪","48,000",היברידי חשמל / דיזל,אוטומט,לבן פנינה,08/2018,10/2022,פרטית,לא,לא,2,כרמיאל,,
232,יונדאי i10,2015,2,998,"27,000 ₪","157,000",בנזין,ידנית,אפור מטאלי,01/2015,01/2023,פרטית,לא,לא,11,ראשון לציון,פרטית,
233,סובארו אימפרזה WRX STI,2018,2,2457,"220,000 ₪","80,000",בנזין,ידנית,כחול,07/2018,07/2022,פרטית,לא,לא,15,כפר יונה,פרטית,
234,פולקסווגן פולו,2003,4,1390,"4,500 ₪","157,000",בנזין,אוטומט,לבן,,02/2022,פרטית,לא,לא,NaN,ירושלים,פרטית,
235,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,לא,לא,14,גנות הדר,פרטית,...
236,קרייזלר גראנד וויאג'ר,2013,2,3604,"55,000 ₪","203,000",בנזין,אוטומט,לבן,01/2013,01/2023,פרטית,לא,לא,15,חולון,פרטית,
237,מיצובישי גרנדיס,2009,1,2378,"40,000 ₪","210,000",בנזין,אוטומט,אפור,01/2009,01/2022,פרטית,לא,לא,15,בית שמש,,
238,סקודה ראפיד,2013,3,1390,"23,000 ₪","168,000",בנזין,אוטומט,כחול כהה מטאלי,12/2013,12/2022,חברה,לא,לא,14,ירושלים,חברה,
239,סקודה ייטי / Yeti,2012,3,1197,"30,000 ₪","215,000",בנזין,ידנית,לבן,08/2012,07/2022,פרטית,לא,לא,15,שעב,פרטית,
240,אופל מוקה,2015,2,1364,"57,000 ₪","57,500",בנזין,אוטומט,כסוף,07/2015,,פרטית,לא,לא,13,עכו,פרטית,
241,טויוטה אוונסיס,2004,3,1998,"14,000 ₪","156,000",בנזין,אוטומט,ברונזה מטאלי,,12/2022,פרטית,כן,לא,NaN,בת ים,פרטית,
242,סוזוקי אלטו,2009,3,996,"18,000 ₪","118,600",בנזין,אוטומט,כסוף,08/2009,09/2022,פרטית,לא,לא,9,רחובות,פרטית,
243,מרצדס CLK,2003,8,2597,לא צוין מחיר,"250,000",בנזין,אוטומט,כסוף מטאלי,,,פרטית,כן,לא,NaN,נצרת עילית / נוף הגליל,פרטית,
244,סוזוקי אלטו,2015,1,996,"21,000 ₪","124,000",בנזין,ידנית,שחור,06/2015,06/2022,פרטית,לא,לא,6,עתלית,,
245,מאזדה 5,2008,4,1999,"15,900 ₪","10,000",בנזין,אוטומט,אפור מטאלי,04/2008,04/2022,פרטית,לא,לא,15,בת ים,השכרה,
246,יונדאי i10,2013,2,1086,לא צוין מחיר,"150,000",בנזין,אוטומט,אפור עכבר,11/2013,12/2022,פרטית,לא,לא,9,מזכרת בתיה,פרטית,
247,טויוטה יאריס,2012,2,1329,"40,000 ₪","105,000",בנזין,אוטומט,כסוף,06/2012,07/2022,פרטית,לא,לא,7,תל אביב יפו,פרטית,
248,סיאט לאון,2008,5,1984,"58,000 ₪","143,000",בנזין,ידנית,לבן,03/2008,06/2022,פרטית,לא,לא,15,הרצליה,פרטית,
249,סיאט לאון,2013,2,1789,"35,000 ₪","175,000",בנזין,אוטומט,לבן,03/2013,03/2022,פרטית,לא,לא,13,באר שבע,פרטית,
250,קיה סיד / CEED,2011,2,1591,"18,000 ₪","176,000",בנזין,אוטומט,כסוף מטאלי,04/2011,04/2022,פרטית,לא,לא,15,בית קשת,ליסינג,
251,יונדאי גטס,2007,3,1399,"6,000 ₪","176,000",בנזין,ידנית,צהוב מטאלי,,03/2022,פרטית,לא,לא,14,בוקעתא,פרטית,
252,טויוטה C-HR,2019,1,1798,"126,000 ₪","47,000",בנזין,אוטומט,לבן,01/2019,01/2022,פרטית,לא,לא,3,בית חורון,,
253,יגואר XJ,2012,3,2993,"99,000 ₪","210,000",דיזל,אוטומט,אפור מטאלי,10/2012,09/2022,פרטית,לא,לא,15,אשקלון,חברה,
254,טויוטה קורולה,2009,2,1598,"35,000 ₪","255,000",בנזין,אוטומט,לבן,04/2009,,פרטית,לא,לא,15,ראש העין,פרטית,
255,ביואיק לה סייבר,1998,3,3791,"25,000 ₪","97,000",בנזין,אוטומט,לבן,01/1998,05/2022,פרטית,כן,לא,NaN,נצרת,פרטית,
256,טויוטה יאריס,2008,1,1298,"11,000 ₪","10,000",בנזין,רובוטית,כחול כהה מטאלי,09/2008,,פרטית,לא,לא,12,יד בנימין,,
257,פיג'ו RCZ,2011,3,1598,"62,000 ₪","89,000",בנזין,אוטומט,לבן פנינה,01/2011,03/2022,פרטית,לא,לא,15,יהוד מונוסון,פרטית,
258,פיג'ו 3008,2015,1,1598,"30,000 ₪","250,000",בנזין,אוטומט,כסוף,08/2015,08/2022,פרטית,לא,לא,15,מולדת,,
259,מרצדס S-Class קופה,2021,1,3982,לא צוין מחיר,"8,500",בנזין,אוטומט,לבן מטאלי,,,פרטית,לא,לא,15,קרית אתא,,
260,מיצובישי לנסר הדור החדש,2008,2,1798,"20,000 ₪","190,000",בנזין,אוטומט,אפור עכבר,,06/2022,פרטית,לא,לא,15,חיפה,פרטית,
261,סיטרואן C4,2012,4,1598,"18,000 ₪","120,000",בנזין,אוטומט,אפור,09/2012,09/2022,פרטית,כן,לא,15,כרמיאל,פרטית,
262,ב.מ.וו X1,2016,3,1998,לא צוין מחיר,"45,000",בנזין,אוטומט,שחור מטאלי,,03/2022,פרטית,כן,לא,14,ירושלים,פרטית,
263,פורד פוקוס,2009,2,1596,"13,000 ₪","167,000",בנזין,אוטומט,לבן מטאלי,12/2009,12/2022,פרטית,כן,לא,15,חריש,ליסינג,
264,טויוטה לנד קרוזר ארוך,2019,2,2755,"352,000 ₪","51,000",דיזל,אוטומט,לבן,03/2019,03/2022,פרטית,לא,כן,15,באר שבע,פרטית,
265,סקודה סופרב (2019 ואילך),2019,2,1984,"207,000 ₪","49,000",בנזין,אוטומט,לבן,06/2019,06/2022,פרטית,לא,לא,10,יושיביה,פרטית,
266,ב.מ.וו סדרה 1,2019,1,1499,"145,000 ₪","54,000",בנזין,אוטומט,לבן פנינה,03/2019,,פרטית,לא,לא,12,חיפה,,
267,יונדאי גטס,2008,4,1399,"8,000 ₪","137,000",בנזין,אוטומט,תכלת מטאלי,06/2008,06/2022,פרטית,לא,לא,14,יהוד מונוסון,השכרה,
268,יונדאי סונטה הייבריד,2016,1,1999,"90,000 ₪","110,000",בנזין,אוטומט,אפור מטאלי,11/2016,,פרטית,לא,לא,3,אבן יהודה,,
269,יונדאי i30,2013,2,1591,"44,000 ₪","165,000",בנזין,אוטומט,כחול כהה מטאלי,,,פרטית,לא,לא,12,חיפה,פרטית,
270,פולקסווגן גולף GTI,2010,2,1984,"85,000 ₪","78,000",בנזין,אוטומט,שחור מטאלי,08/2010,,פרטית,לא,לא,15,נצרת עילית / נוף הגליל,פרטית,
271,דאצ'יה דאסטר,2018,3,1461,"75,000 ₪","76,500",דיזל,אוטומט,שחור מטאלי,11/2018,11/2022,חברה,לא,לא,14,חולון,פרטית,
272,אאודי Q5,2015,3,1984,לא צוין מחיר,"110,000",בנזין,אוטומט,שחור מטאלי,06/2015,03/2022,פרטית,לא,לא,15,חולון,פרטית,אוטו טרייד
273,ב.מ.וו סדרה 3,2017,4,1998,"140,000 ₪","73,000",בנזין,אוטומט,לבן מטאלי,10/2017,10/2022,פרטית,לא,לא,2,בת ים,פרטית,
274,שברולט טראוורס,2019,2,3564,"230,000 ₪","49,000",בנזין,אוטומט,שחור מטאלי,03/2019,03/2022,פרטית,לא,לא,15,חולון,פרטית,
275,פורד פוקוס,2005,6,1596,"6,000 ₪","140,000",בנזין,אוטומט,אפור עכבר,,,פרטית,כן,לא,NaN,חולון,פרטית,
276,אופל מוקה X,2018,2,1364,"66,999 ₪","106,000",בנזין,אוטומט,כתום,06/2018,06/2022,פרטית,לא,לא,13,באר שבע,ליסינג,
277,פיג'ו 3008,2018,1,1560,"118,500 ₪","52,000",דיזל,אוטומט,כחול כהה,07/2018,07/2022,פרטית,לא,לא,10,ירושלים,,
278,סוזוקי אלטו,2010,1,996,"13,000 ₪","169,000",בנזין,ידנית,ירוק בהיר,08/2010,08/2022,פרטית,לא,לא,9,הרצליה,,
279,רנו פלואנס,2013,2,1461,"25,000 ₪","190,000",דיזל,אוטומט,ברונזה מטאלי,10/2013,,פרטית,לא,לא,14,אזור,פרטית,
280,לקסוס GS300H,2014,1,2494,לא צוין מחיר,"1,000",בנזין,אוטומט,כחול כהה מטאלי,04/2014,,פרטית,לא,לא,4,דייר אל אסד,,
281,רנו לוגאן MCV,2011,4,1598,"17,500 ₪","135,000",בנזין,ידנית,כחול,06/2011,,פרטית,לא,לא,15,ירושלים,פרטית,
282,טויוטה קורולה,2014,2,1598,"49,000 ₪","134,000",בנזין,אוטומט,כסוף מטאלי,11/2014,11/2022,פרטית,כן,כן,7,ירושלים,ליסינג,
283,אאודי Q7,2011,4,2967,לא צוין מחיר,"230,000",דיזל,אוטומט,לבן,09/2011,09/2022,פרטית,לא,לא,15,באקה אל ע'רביה,פרטית,
284,שברולט אבאו,2008,2,1399,"10,000 ₪","123,000",בנזין,אוטומט,כסוף מטאלי,10/2008,04/2022,פרטית,כן,לא,NaN,נתניה,פרטית,
285,יונדאי איוניק,2019,2,1580,"98,000 ₪","91,000",בנזין,אוטומט,אפור מטאלי,01/2019,,פרטית,לא,לא,2,חדרה,השכרה,
286,קיה פיקנטו,2018,1,1197,"56,000 ₪","50,000",בנזין,אוטומט,שחור,04/2018,,פרטית,לא,לא,9,גן יבנה,,
287,יונדאי i20,2010,1,1396,"16,000 ₪","300,000",בנזין,אוטומט,תכלת,06/2010,08/2022,פרטית,לא,לא,13,גינתון,,
288,סיאט איביזה,2012,2,1390,"21,855 ₪","121,000",בנזין,ידנית,לבן,07/2012,08/2022,פרטית,לא,לא,14,כפר יונה,חברה,
289,פורד מונדאו,2010,3,2261,"17,000 ₪","130,000",בנזין,אוטומט,כסף מטלי,07/2010,07/2022,פרטית,כן,לא,15,חדרה,פרטית,
290,קיה ספורטז',2015,1,1591,"60,000 ₪","175,000",בנזין,אוטומט,שחור מטאלי,12/2015,12/2022,פרטית,לא,לא,15,באר שבע,,
291,סוזוקי SX4,2012,3,1586,"27,001 ₪","175,000",בנזין,אוטומט,כחול,08/2012,,פרטית,לא,לא,14,עפולה,פרטית,
292,רנו מגאן גראנד קופה,2021,1,1461,"116,500 ₪","20,000",דיזל,אוטומט,שחור,03/2021,,פרטית,לא,לא,6,נתיבות,,
293,שברולט קרוז,2015,2,1362,"30,000 ₪","153,000",בנזין,אוטומט,אפור מטאלי,01/2015,01/2023,פרטית,לא,לא,14,טירת כרמל,ליסינג,
294,סוזוקי אלטו,2010,2,996,"10,000 ₪","213,000",בנזין,ידנית,לבן פנינה,05/2010,05/2022,פרטית,לא,לא,9,אשדוד,פרטית,
295,סקודה סופרב (עד 2019),2017,2,1798,"91,000 ₪","135,000",בנזין,אוטומט,אפור מטאלי,08/2017,,פרטית,לא,לא,12,אשקלון,ליסינג,
296,פורשה 718 בוקסטר,2016,3,2497,לא צוין מחיר,"86,000",בנזין,אוטומט,אדום,06/2016,01/2023,פרטית,לא,לא,15,מיתר / כרמית,פרטית,
297,מאזדה 3,2021,2,1998,"135,500 ₪","13,500",בנזין,אוטומט,לבן פנינה,01/2021,01/2023,פרטית,לא,לא,11,באר שבע,חברה,
298,ב.מ.וו סדרה 5,2016,2,1997,לא צוין מחיר,"49,000",בנזין,אוטומט,לבן,01/2016,,פרטית,לא,לא,14,אום אל פחם,פרטית,
299,טויוטה יאריס,2005,5,1298,"9,200 ₪","277,000",בנזין,ידנית,אפור,,05/2022,פרטית,לא,לא,NaN,אפרת,פרטית,
300,קיה פיקנטו,2016,3,1248,"39,500 ₪","124,000",בנזין,אוטומט,לבן,01/2016,01/2022,פרטית,לא,לא,9,בית אלעזרי,ליסינג,
301,וולוו S60,2014,2,1969,"58,000 ₪","170,000",בנזין,אוטומט,לבן שנהב,06/2014,06/2022,פרטית,לא,לא,14,רחובות,פרטית,
302,ב.מ.וו סדרה 2,2019,2,2998,"290,000 ₪","38,000",בנזין,אוטומט,לבן פנינה,06/2019,06/2022,פרטית,לא,לא,14,פתח תקווה,חברה,
303,אלפא רומיאו 159,2007,7,2198,"18,000 ₪","280,000",בנזין,אוטומט,אפור מטאלי,12/2007,,פרטית,לא,לא,15,ירושלים,פרטית,
304,פולקסווגן פולו,2004,3,1390,"7,000 ₪","100,000",בנזין,אוטומט,כחול כהה,06/2004,,פרטית,לא,לא,NaN,אשדוד,פרטית,
305,מאזדה 626,2001,2,1991,"4,900 ₪","160,000",בנזין,אוטומט,ירוק מטאלי,10/2001,05/2022,פרטית,לא,לא,NaN,ביתר עילית,פרטית,
306,טויוטה פריוס הייבריד,2012,3,1798,"42,000 ₪","230,000",בנזין,אוטומט,לבן,10/2012,10/2022,פרטית,לא,לא,3,רעננה,פרטית,
307,סקודה אוקטביה,2017,2,1197,לא צוין מחיר,"104,000",בנזין,אוטומט,כסף מטלי,01/2017,01/2022,פרטית,לא,כן,11,כפר יאסיף,פרטית,
308,קיה פיקנטו,2015,2,1248,"38,000 ₪","90,000",בנזין,אוטומט,תכלת,,,פרטית,לא,לא,9,קרית גת,פרטית,
309,פיג'ו 3008,2021,0,1199,1785 ₪ לחודש,,בנזין,אוטומט,אפור מטאלי,,,פרטית,לא,לא,13,תל אביב יפו,,gracemotors
310,טויוטה אוריס הייבריד,2015,2,1798,"56,000 ₪","194,000",בנזין,אוטומט,אפור,06/2015,06/2022,פרטית,לא,לא,3,בארות יצחק,ליסינג,
311,מרצדס C-Class Taxi,2009,3,2149,לא צוין מחיר,"350,000",דיזל,אוטומט,לבן מטאלי,11/2009,04/2022,פרטית,כן,לא,15,בני ברק,פרטית,
312,שברולט ספארק,2018,2,1399,"49,000 ₪","103,000",בנזין,אוטומט,כסוף,04/2018,04/2022,פרטית,לא,לא,8,ראשון לציון,ליסינג,
313,מאזדה 6,2008,3,2488,"34,999 ₪","165,000",בנזין,אוטומט,כסוף,05/2008,,פרטית,לא,לא,15,תל אביב יפו,פרטית,
314,מאזדה 5,2009,2,1999,"27,000 ₪","220,000",בנזין,אוטומט,כחול כהה,,,פרטית,כן,לא,15,ראש העין,פרטית,
315,פיג'ו 5008,2018,1,1560,"132,000 ₪","39,000",דיזל,אוטומט,אפור מטאלי,01/2018,01/2022,פרטית,כן,לא,14,ירושלים,,
316,מרצדס GLE קופה,2021,1,2925,לא צוין מחיר,"11,000",דיזל,אוטומט,לבן מטאלי,09/2021,09/2023,ליסינג,לא,לא,15,קרית אונו,,
