,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
35,טויוטה פריוס הייבריד,2007,3,1497,לא צוין מחיר,"400,000",בנזין,אוטומט,ירקרק,05/2007,12/2021,פרטית,לא,לא,4,אריאל,פרטית,
36,ניסאן מיקרה,2019,1,1198,"65,000 ₪","44,000",בנזין,אוטומט,אפור מטאלי,11/2019,,פרטית,לא,לא,5,קרית אתא,,
37,מאזדה 2,2011,2,1498,"25,000 ₪","190,000",בנזין,אוטומט,כסוף,01/2011,01/2022,פרטית,לא,לא,14,ירושלים,פרטית,
38,פולקסווגן פולו,2012,4,1390,"35,000 ₪","99,500",בנזין,ידנית,אפור עכבר,05/2012,05/2022,פרטית,לא,לא,14,נצרת,פרטית,
39,סיאט לאון,2014,3,1798,לא צוין מחיר,"108,000",בנזין,אוטומט,לבן,06/2014,06/2022,פרטית,לא,לא,12,פוריידיס,פרטית,
40,פורד פוקוס,2013,2,1596,"20,000 ₪","102,000",בנזין,אוטומט,לבן,05/2013,05/2022,פרטית,לא,לא,14,נהריה,פרטית,
41,יונדאי i30,2009,3,1591,"16,000 ₪","202,000",בנזין,אוטומט,כסוף,01/2009,,פרטית,לא,לא,14,נהריה,פרטית,
42,טויוטה יאריס,2016,1,1329,"75,000 ₪","29,000",בנזין,אוטומט,כסוף,11/2016,11/2022,פרטית,כן,לא,7,ראשון לציון,,
43,מאזדה 6,2014,2,2488,"64,000 ₪","144,000",בנזין,אוטומט,לבן פנינה,01/2014,02/2022,פרטית,לא,לא,14,רמלה,ליסינג,
44,לנד רובר דיסקברי 4,2016,2,2993,"304,000 ₪","132,000",דיזל,אוטומט,לבן,09/2016,09/2022,ייבוא אישי,לא,לא,15,רחובות,ייבוא אישי,
45,טויוטה יאריס,2005,2,1298,"15,000 ₪","200,000",בנזין,אוטומט,כחול בהיר,,10/2022,פרטית,לא,לא,NaN,טבריה,פרטית,
46,מרצדס V-Class,2018,2,2143,"258,000 ₪","56,000",דיזל,אוטומט,שחור מטאלי,06/2018,06/2022,ייבוא אישי,לא,לא,15,מרכז שפירא,ייבוא אישי,
47,יונדאי i25,2015,3,1591,"49,000 ₪","145,000",בנזין,אוטומט,שחור מטאלי,01/2015,,פרטית,לא,לא,13,ירושלים,פרטית,
48,סוזוקי SX4 קרוסאובר,2014,1,1586,"38,000 ₪","204,000",בנזין,ידנית,חרדל,,09/2022,פרטית,לא,לא,8,בית אל,,
49,מאזדה 3,2017,2,1998,"88,000 ₪","53,000",בנזין,אוטומט,לבן פנינה,11/2017,11/2022,פרטית,לא,לא,12,באר יעקב,פרטית,
50,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,לא,לא,14,גנות הדר,פרטית,...
51,פיאט פונטו ספייס (דור II),2003,6,1747,"15,000 ₪","312,000",בנזין,ידנית,צהוב,,02/2022,פרטית,לא,לא,NaN,רחובות,פרטית,
52,מרצדס CLS,2011,4,4663,"184,000 ₪","163,000",בנזין,אוטומט,שחור מטאלי,05/2011,05/2022,פרטית,לא,לא,14,תל אביב יפו,פרטית,
53,שברולט טראוורס,2017,3,3564,"120,000 ₪","90,000",בנזין,אוטומט,לבן,02/2017,,פרטית,לא,לא,15,כפר סבא,חברה,
54,אופל אדם,2015,2,1398,"32,000 ₪","102,000",בנזין,אוטומט,אדום,03/2015,03/2022,פרטית,לא,לא,7,אשדוד,פרטית,
55,טויוטה קורולה,2008,3,1598,"15,000 ₪","200,000",בנזין,רובוטית,כסוף,07/2008,07/2022,פרטית,לא,כן,15,עפולה,פרטית,
56,פולקסווגן גולף,2010,2,1595,"33,000 ₪","137,000",בנזין,אוטומט,שחור מטאלי,10/2010,10/2022,פרטית,לא,לא,15,עכו,פרטית,
57,טויוטה קורולה RUN-X,2004,2,1598,"10,000 ₪","190,000",בנזין,אוטומט,אפור עכבר,,12/2021,פרטית,לא,לא,NaN,כפר הנשיא,פרטית,
