,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,תאריך עליה לכביש,שם הסוכנות:
34,אינפיניטי G37,2010,3,3696,"42,000 ₪","130,000",בנזין,אוטומט,שחור מטאלי,09/2022,פרטית,פרטית,לא,לא,15,אשדוד,,דניאל
35,יונדאי i25,2016,1,1368,"47,000 ₪",,בנזין,אוטומט,אפור מטאלי,01/2023,פרטית,,לא,לא,13,אודים,01/2016,נורית
36,סובארו B4,2012,2,2457,"29,900 ₪","280,000",בנזין,אוטומט,אפור מטאלי,,פרטית,ליסינג,כן,לא,15,כרמיאל,08/2012,
37,טויוטה קורולה,2008,3,1598,"18,000 ₪","220,000",בנזין,אוטומט,לבן,,פרטית,פרטית,לא,לא,15,עכו,12/2008,
38,סקודה אוקטביה,2013,2,1197,"24,000 ₪","240,000",בנזין,אוטומט,חום מטאלי,,פרטית,פרטית,לא,לא,9,פרדס חנה כרכור,,
39,מרצדס C-Class קופה,2019,3,2996,לא צוין מחיר,"22,500",בנזין,אוטומט,לבן מטאלי,09/2022,פרטית,פרטית,לא,לא,14,חיפה,09/2019,
40,סקודה סופרב (2019 ואילך),2021,1,1984,"295,000 ₪","10,000",בנזין,אוטומט,שחור מטאלי,,פרטית,,לא,לא,14,נצרת,,
41,ניסאן מיקרה,2017,1,1198,לא צוין מחיר,"85,000",בנזין,ידנית,אפור עכבר,05/2022,פרטית,,לא,לא,7,קרית אתא,05/2017,
42,פולקסווגן ג'טה,2009,3,1595,"12,500 ₪","160,000",בנזין,אוטומט,לבן,08/2021,פרטית,פרטית,לא,כן,15,יפתח,07/2009,
43,קיה פיקנטו,2018,1,998,"54,000 ₪","4,500",בנזין,אוטומט,כסוף,01/2023,פרטית,,לא,לא,9,רעננה,01/2018,
44,ניסאן ג'וק / Juke,2018,1,1598,"80,000 ₪","41,000",בנזין,אוטומט,לבן פנינה,01/2023,פרטית,,לא,לא,13,תל אביב יפו,01/2018,
45,הונדה סיוויק סדאן החדשה,2010,2,1799,"25,500 ₪","220,000",בנזין,אוטומט,שחור,05/2022,פרטית,ליסינג,לא,לא,14,ראשון לציון,,
46,יונדאי i10,2016,3,998,"24,500 ₪","110,000",בנזין,ידנית,אפור מטאלי,05/2022,פרטית,פרטית,כן,לא,4,רחובות,05/2016,
47,טויוטה פריוס פלוס הייבריד,2016,2,1798,"104,999 ₪","175,000",בנזין,אוטומט,אפור עכבר,02/2022,פרטית,פרטית,לא,לא,4,בני ברק,02/2016,
48,וולוו S60,2013,2,1595,"33,000 ₪","138,000",בנזין,אוטומט,כסוף מטאלי,11/2022,פרטית,השכרה,לא,לא,15,ירושלים,11/2013,
49,סיאט איביזה,2011,4,1197,"25,000 ₪","170,000",בנזין,אוטומט,אדום,06/2022,פרטית,פרטית,לא,לא,15,ירושלים,06/2011,
