,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
73,סיאט לאון,2011,4,1789,"40,000 ₪","88,080",בנזין,אוטומט,שחור מטאלי,10/2011,11/2022,פרטית,פרטית,כן,לא,15,ירושלים,
74,סיטרואן C5,2012,3,1598,"15,000 ₪","233,000",בנזין,אוטומט,שחור,06/2012,06/2022,פרטית,פרטית,לא,לא,15,ירושלים,
75,מרצדס S-Class,2006,3,5462,"69,000 ₪","215,000",בנזין,אוטומט,שחור מטאלי,03/2006,,פרטית,פרטית,לא,לא,NaN,חולון,
76,הונדה סיוויק סדאן החדשה,2006,3,1799,"17,900 ₪","277,000",בנזין,אוטומט,כסוף,,,פרטית,פרטית,לא,לא,14,עמקה,
77,יונדאי i20,2015,3,1368,"54,000 ₪","56,000",בנזין,אוטומט,לבן,03/2015,03/2022,פרטית,פרטית,לא,לא,NaN,קרית מוצקין,
78,סובארו לאונה,1993,6,1600,"12,000 ₪","230,000",בנזין,אוטומט,לבן,05/1993,05/2022,פרטית,פרטית,לא,לא,NaN,כרמיאל,
79,טויוטה קורולה,2009,2,1598,"15,000 ₪","190,000",בנזין,רובוטית,כסף מטלי,07/2009,08/2022,פרטית,פרטית,לא,לא,15,קרית טבעון,
80,פולקסווגן גולף,2004,5,1984,"9,000 ₪","138,000",בנזין,אוטומט,אפור מטאלי,09/2004,09/2022,פרטית,פרטית,לא,לא,NaN,פתח תקווה,
81,פולקסווגן ג'טה,2013,1,1197,"36,000 ₪","193,000",בנזין,אוטומט,לבן,11/2013,11/2022,ליסינג,,לא,לא,7,נתניה,
82,יונדאי איוניק,2020,2,1580,"95,000 ₪","94,000",בנזין,אוטומט,אפור עכבר,05/2020,05/2023,פרטית,חברה,לא,לא,2,אלעד,
83,פולקסווגן גולף,2013,3,1197,לא צוין מחיר,"170,000",בנזין,אוטומט,לבן,11/2013,12/2022,פרטית,פרטית,לא,לא,13,כרמיאל,
84,סאנגיונג רודיוס,2014,2,1998,"36,000 ₪","526,000",דיזל,אוטומט,לבן,11/2014,12/2021,פרטית,מונית,כן,לא,15,מודיעין עילית,
85,יונדאי אלנטרה (2016 ואילך),2016,3,1591,"59,993 ₪","132,000",בנזין,אוטומט,לבן,08/2016,08/2022,פרטית,ליסינג,לא,לא,13,ירושלים,
86,קיה ריו,2011,2,1399,"15,000 ₪","187,000",בנזין,אוטומט,לבן,12/2011,12/2022,פרטית,ליסינג,לא,לא,14,כרמיאל,
87,מאזדה 3,2008,4,1598,"16,500 ₪","241,000",בנזין,אוטומט,אפור מטאלי,12/2008,07/2022,פרטית,השכרה,לא,לא,15,קרית ים,
88,מיני קופר,2018,1,1998,"180,000 ₪","24,000",בנזין,אוטומט,אדום מטאלי,08/2018,,פרטית,,לא,לא,7,הרצליה,
89,סוזוקי ליאנה,2004,1,1586,"8,000 ₪","50,001",בנזין,אוטומט,לבן,05/2004,05/2022,פרטית,,לא,לא,NaN,הרצליה,
90,קיה ריו,2018,1,1368,"57,900 ₪","140,000",בנזין,אוטומט,לבן,02/2018,02/2022,ליסינג,,לא,לא,12,עפולה,רכב העמק
91,סקודה סופרב (עד 2019),2012,3,1798,לא צוין מחיר,"150,000",בנזין,אוטומט,שחור מטאלי,12/2012,12/2022,פרטית,פרטית,לא,לא,15,חיפה,מ.ת. מוטורס בעמ
92,הונדה סיוויק האצ'בק החדשה,2017,2,1798,"79,900 ₪","85,000",בנזין,אוטומט,אפור מטאלי,05/2017,05/2022,פרטית,פרטית,לא,לא,6,חיפה,טרייד אין רכב חיפה
93,אאודי A4,2021,2,1984,"289,000 ₪","9,300",בנזין,אוטומט,אפור עכבר,05/2021,05/2022,פרטית,חברה,כן,לא,14,אבן יהודה,סיטיקאר סנטר 1999 בעמ
94,קיה פיקנטו,2021,1,1197,"84,000 ₪",1,בנזין,אוטומט,לבן מטאלי,09/2021,09/2024,ליסינג,,כן,לא,9,מעיליא,טרייד אין יוסף
95,מאזדה 3,2016,2,1496,"59,500 ₪","90,000",בנזין,אוטומט,אפור,03/2016,03/2022,פרטית,פרטית,כן,לא,10,חולון,מרכז הרכב - חולון
96,יגואר XF,2014,3,1999,לא צוין מחיר,,בנזין,אוטומט,כסוף,09/2014,,פרטית,פרטית,כן,לא,15,קרית שמונה,דורון מוטורס
97,ב.מ.וו סדרה 5,2008,3,2497,"39,900 ₪","180,000",בנזין,אוטומט,ברונזה,02/2008,02/2022,פרטית,פרטית,כן,לא,15,ראשון לציון,"קליק טרייד רכב בע""מ"
98,ב.מ.וו סדרה 4,2020,2,1998,לא צוין מחיר,"7,000",בנזין,אוטומט,,,,פרטית,פרטית,כן,לא,14,קרית שמונה,רמי קאר מוטורס
99,סקודה אוקטביה RS,2021,0,1984,2485 ₪ לחודש,,בנזין,אוטומט,,08/2021,10/2022,פרטית,,כן,לא,11,באר שבע,קפיטל מוטורס
100,פורד פוקוס,2007,4,1596,"7,500 ₪","185,000",בנזין,אוטומט,כסוף,,03/2022,פרטית,ליסינג,לא,לא,15,באר יעקב,רואי קאר
101,טויוטה סופרה,2021,0,1998,"389,000 ₪",,בנזין,אוטומט,שחור מטאלי,,12/2022,פרטית,,לא,לא,15,תל אביב יפו,SEACAR רכבי יוקרה
102,מאזדה 5,2010,2,1999,"29,000 ₪","219,000",בנזין,אוטומט,כסוף מטאלי,09/2010,09/2022,פרטית,ליסינג,לא,לא,15,רמלה,אלכס רכבים
103,סיאט איביזה,2018,1,999,"85,900 ₪","119,000",בנזין,אוטומט,כחול,01/2018,01/2022,פרטית,,כן,לא,4,חיפה,בן מוטורס
104,מרצדס A-Class,2016,3,1595,"89,000 ₪","159,000",בנזין,אוטומט,אדום,07/2016,07/2022,פרטית,פרטית,לא,לא,9,ראשון לציון,בוטיקאר רכבי יוקרה
105,שברולט אימפלה,2014,5,3564,לא צוין מחיר,"157,000",בנזין,אוטומט,אפור מטאלי,11/2014,12/2022,פרטית,פרטית,כן,לא,15,קרית שמונה,רויאל מוטורס
106,אאודי A7,2016,3,1984,לא צוין מחיר,"124,000",בנזין,אוטומט,לבן,,,פרטית,פרטית,לא,לא,14,טבריה,דיזל גרופ
107,פיאט 500,2014,3,1242,לא צוין מחיר,"51,000",בנזין,רובוטית,אדום,04/2014,04/2022,פרטית,פרטית,כן,לא,7,תל אביב יפו,ח.י יוסף עסקי רכב בעמ
108,סוזוקי ליאנה,2004,1,1586,"8,000 ₪","50,001",בנזין,אוטומט,לבן,05/2004,05/2022,פרטית,,לא,לא,NaN,הרצליה,
109,מאזדה 6,2017,1,2488,לא צוין מחיר,"57,000",בנזין,אוטומט,שחור,,,פרטית,,לא,לא,10,מעלה עירון,
110,סיאט איביזה,2014,2,1390,"87,000 ₪","70,000",בנזין,אוטומט,לבן פנינה,11/2014,11/2022,פרטית,פרטית,לא,לא,15,פתח תקווה,
111,אאודי TT,2018,3,1798,"212,000 ₪","49,000",בנזין,אוטומט,לבן,04/2018,08/2022,פרטית,פרטית,לא,לא,13,רמת השרון,
112,מיצובישי לנסר קלאסיק,2006,6,1584,"5,500 ₪","300,000",בנזין,אוטומט,כסוף,,08/2022,פרטית,פרטית,לא,לא,15,רכסים,
113,ב.מ.וו סדרה 5,2012,3,1997,"99,000 ₪","180,000",בנזין,אוטומט,שחור,12/2012,06/2022,פרטית,פרטית,לא,לא,15,נתניה,
114,סוזוקי סלריו,2018,1,998,"35,000 ₪","53,500",בנזין,ידנית,כחול בהיר,08/2018,08/2022,פרטית,,לא,לא,4,ראשון לציון,
115,מאזדה 3,2008,4,1598,"9,800 ₪","218,000",בנזין,אוטומט,אפור מטאלי,09/2008,09/2022,פרטית,פרטית,לא,לא,15,ירושלים,
116,יונדאי i30,2008,1,1591,"15,500 ₪","230,000",בנזין,אוטומט,אדום מטאלי,04/2008,04/2022,פרטית,,לא,לא,14,רמת דוד,
117,קיה נירו הייבריד,2017,2,1580,"94,000 ₪","114,000",בנזין,אוטומט,אפור עכבר,06/2017,06/2022,פרטית,ליסינג,לא,לא,3,נס ציונה,
118,יונדאי i20,2015,3,1368,"51,000 ₪","95,000",בנזין,אוטומט,לבן,08/2015,08/2022,פרטית,ליסינג,לא,לא,NaN,באר שבע,
119,פיג'ו 5008,2012,3,1598,"10,000 ₪","96,000",בנזין,אוטומט,כחול,08/2012,08/2022,ליסינג,ליסינג,לא,לא,15,ירושלים,
120,אופל אסטרה,2016,2,1399,"39,000 ₪","118,000",בנזין,אוטומט,לבן,06/2016,06/2022,פרטית,ליסינג,לא,לא,11,חיפה,
121,יונדאי i20,2010,2,1396,"19,000 ₪","130,000",בנזין,אוטומט,כחול,06/2010,07/2022,פרטית,השכרה,לא,לא,13,חדיד,
122,יונדאי אלנטרה (2016 ואילך),2017,2,1591,"65,000 ₪","108,000",בנזין,אוטומט,כסוף,07/2017,07/2022,פרטית,ליסינג,לא,לא,13,צפת,
123,טויוטה קורולה,2003,2,1598,"8,000 ₪","270,000",בנזין,אוטומט,כחול מטאלי,06/2003,06/2022,פרטית,פרטית,לא,לא,NaN,ירושלים,
124,מאזדה 3,2008,3,1598,"11,500 ₪","239,000",בנזין,אוטומט,זהב מטאלי,09/2008,09/2022,פרטית,ליסינג,לא,לא,15,כרמיאל,
125,מאזדה 3,2017,3,1998,"78,000 ₪","49,000",בנזין,אוטומט,כסוף,01/2017,01/2022,פרטית,פרטית,לא,לא,12,יבנה,
126,ב.מ.וו סדרה 4,2021,1,1998,"369,900 ₪","21,000",בנזין,אוטומט,שחור,,,פרטית,,כן,לא,13,חיפה,Liron Car - מכירת רכבים מיד ראשונה פרטית!
127,רנו קפצ'ור,2016,3,1197,לא צוין מחיר,"90,000",בנזין,אוטומט,כסף מטלי,08/2016,02/2022,פרטית,פרטית,כן,לא,12,ראשון לציון,אוטו שי
128,מרצדס E-Class,2021,0,1991,לא צוין מחיר,,היברידי חשמל / בנזין,אוטומט,אפור מטאלי,12/2021,01/2024,פרטית,,לא,לא,2,טמרה,בילאל
129,רנו קפצ'ור,2015,2,1197,"42,000 ₪","103,000",בנזין,אוטומט,קרם,11/2015,11/2022,פרטית,פרטית,לא,לא,13,חיפה,גיא זוהר
130,קיה סול,2015,1,1591,"62,900 ₪","79,000",בנזין,אוטומט,לבן שנהב,11/2015,11/2022,פרטית,,לא,לא,14,נתניה,מכון בדיקה אוטו טסט
131,סיטרואן C3,2021,1,1199,לא צוין מחיר,"2,300",בנזין,אוטומט,אפור מטאלי,08/2021,08/2022,פרטית,,כן,לא,7,פתח תקווה,AMIR MOTORS
132,אאודי A4,2021,1,1984,לא צוין מחיר,10,בנזין,אוטומט,שחור מטאלי,06/2021,06/2022,ליסינג,,כן,לא,14,ראשון לציון,בלו סקאי סניף מרכז
133,קיה סיד / CEED,2021,0,1598,לא צוין מחיר,,דיזל,אוטומט,לבן מטאלי,07/2021,,פרטית,,לא,לא,7,עפולה,בלו סקאי סניף צפון
134,סובארו XV,2014,1,1600,"68,500 ₪","73,000",בנזין,אוטומט,כחול,11/2014,11/2022,פרטית,,כן,לא,14,בת ים,yes car
135,יונדאי i25,2012,2,1591,"32,900 ₪","154,000",בנזין,אוטומט,לבן,04/2012,04/2022,פרטית,ליסינג,כן,לא,13,נתניה,רמי מוטורס
136,סקודה אוקטביה,2014,2,1197,לא צוין מחיר,"180,000",בנזין,אוטומט,אפור מטאלי,07/2014,06/2022,פרטית,פרטית,לא,לא,14,אבן יהודה,אוטו מרקט
137,סיטרואן C4 פיקאסו,2016,1,1598,"45,000 ₪","170,000",בנזין,אוטומט,אפור מטאלי,01/2016,01/2022,ליסינג,,כן,לא,14,ירושלים,ישראל דניאל
138,ניסאן ליף,2020,1,,לא צוין מחיר,"31,000",חשמלי,אוטומט,אפור,03/2020,03/2022,פרטית,,כן,לא,1,אזור,סנטר קאר שירותי ליסינג ומימון בעמ
139,קיה פיקנטו,2017,1,1248,"44,000 ₪","110,000",בנזין,אוטומט,כסוף מטאלי,,02/2022,פרטית,,לא,לא,9,נתניה,איציק כהן
140,פיג'ו 3008,2019,1,1199,לא צוין מחיר,"160,000",בנזין,אוטומט,אפור,,,ליסינג,,לא,לא,11,חיפה,ס.א קאר 2018
141,יונדאי i35,2015,2,1591,לא צוין מחיר,"88,000",בנזין,אוטומט,תכלת מטאלי,02/2015,02/2022,פרטית,פרטית,לא,לא,14,בני ברק,רכבים לאחר בדיקה/ענק הטרייד אין
142,סיאט איביזה,2014,2,1197,999 ₪ לחודש,"190,000",בנזין,אוטומט,לבן מטאלי,12/2014,12/2022,פרטית,פרטית,כן,לא,11,עפולה,עדן קאר
143,טויוטה אוריס הייבריד,2016,1,1798,"58,000 ₪","158,000",בנזין,אוטומט,לבן שנהב,11/2016,11/2022,פרטית,,לא,לא,3,הרצליה,ארי
144,מאזדה 3,2008,3,1598,"11,500 ₪","239,000",בנזין,אוטומט,זהב מטאלי,09/2008,09/2022,פרטית,ליסינג,לא,לא,15,כרמיאל,
145,מאזדה 3,2017,3,1998,"78,000 ₪","49,000",בנזין,אוטומט,כסוף,01/2017,01/2022,פרטית,פרטית,לא,לא,12,יבנה,
146,קיה פורטה,2009,2,1591,"12,000 ₪","230,000",בנזין,אוטומט,ברונזה,12/2009,12/2022,פרטית,ליסינג,כן,לא,14,ירושלים,
147,סקודה אוקטביה,2008,4,1595,"14,000 ₪","215,000",בנזין,אוטומט,אפור,11/2008,11/2022,פרטית,פרטית,לא,לא,15,נתניה,
148,קרייזלר 300C,2013,1,3604,"68,000 ₪","229,000",בנזין,אוטומט,לבן,04/2013,04/2022,פרטית,,לא,לא,15,רעננה,
149,סקודה אוקטביה,2014,2,1798,"50,000 ₪","130,000",בנזין,אוטומט,כסוף,05/2014,,פרטית,פרטית,לא,לא,14,באר שבע,
150,הונדה סיוויק האצ'בק החדשה,2012,4,1798,"40,000 ₪","173,000",בנזין,אוטומט,לבן פנינה,08/2012,11/2022,פרטית,פרטית,לא,לא,14,תל אביב יפו,
151,פורד פוקוס,2012,3,1596,"12,000 ₪","210,000",בנזין,אוטומט,אפור מטאלי,11/2012,,פרטית,פרטית,לא,לא,14,באר שבע,
152,סיאט לאון,2012,2,1984,"69,000 ₪","98,900",בנזין,ידנית,שחור מטאלי,06/2012,06/2022,פרטית,פרטית,לא,לא,14,פתח תקווה,
