,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
0,אופל אסטרה,2012,2,1364,"15,000 ₪","223,000",בנזין,אוטומט,אפור,11/2012,11/2022,פרטית,פרטית,לא,לא,14,בית שאן,
1,פורד פוקוס,2012,3,1596,"16,000 ₪","176,000",בנזין,אוטומט,אפור מטאלי,11/2012,11/2022,פרטית,פרטית,לא,לא,14,ביתר עילית,
2,סוזוקי אלטו,2010,3,996,"16,500 ₪","150,000",בנזין,אוטומט,שחור,01/2010,01/2023,פרטית,פרטית,לא,לא,9,טל אל,
3,שברולט מאליבו,2010,4,3500,"20,900 ₪","161,000",בנזין,אוטומט,כחול כהה מטאלי,08/2010,08/2022,פרטית,פרטית,לא,לא,15,באר שבע,
4,פיג'ו 308,2011,2,1598,"9,500 ₪","154,000",בנזין,אוטומט,כסוף מטאלי,05/2011,,פרטית,פרטית,לא,לא,15,לפיד,
5,מרצדס S-Class,2008,2,3498,"75,000 ₪","205,000",בנזין,אוטומט,כסוף מטאלי,03/2008,03/2022,פרטית,פרטית,לא,לא,15,בת ים,
6,מרצדס S-Class,2007,7,3498,"76,000 ₪","240,000",בנזין,אוטומט,כחול כהה מטאלי,,12/2021,פרטית,פרטית,כן,לא,15,כפר יאסיף,
7,מאזדה 5,2009,2,1999,"25,000 ₪","244,000",בנזין,אוטומט,כסוף,10/2009,10/2022,פרטית,ליסינג,לא,לא,15,מודיעין מכבים רעות,
8,יונדאי i30CW,2011,3,1591,"21,000 ₪","214,400",בנזין,אוטומט,לבן פנינה,06/2011,06/2022,פרטית,פרטית,כן,לא,15,תל מונד,
9,סוזוקי בלנו,1997,2,1590,"8,000 ₪","100,000",בנזין,אוטומט,כסוף,,,פרטית,פרטית,לא,לא,NaN,ירושלים,
10,קיה סיד / CEED,2015,2,1591,"41,500 ₪","160,000",בנזין,אוטומט,ברונזה,,,פרטית,פרטית,לא,לא,13,אשקלון,
11,מאזדה 3,2011,3,1598,"20,000 ₪","195,653",בנזין,אוטומט,כסוף,02/2011,02/2022,פרטית,לימוד נהיגה,לא,לא,15,אספר,
12,טויוטה קורולה,2016,2,1598,"63,000 ₪","143,000",בנזין,אוטומט,ברונזה,02/2016,02/2022,פרטית,ליסינג,לא,לא,11,חדרה,
13,רנו לוגאן MCV,2009,3,1598,"9,500 ₪","252,000",בנזין,ידנית,כסף מטלי,12/2009,12/2022,פרטית,פרטית,כן,לא,15,ירושלים,
14,קיה פיקנטו,2020,1,1248,"73,000 ₪","19,000",בנזין,אוטומט,שחור מטאלי,08/2020,08/2023,פרטית,,לא,לא,9,באר יעקב,
15,טויוטה פריוס פלוס הייבריד,2017,2,1798,"94,500 ₪","196,200",בנזין,אוטומט,לבן,08/2017,09/2022,פרטית,ליסינג,כן,לא,3,בית שמש,
16,טויוטה אוונסיס,2003,2,1998,"7,000 ₪","270,000",בנזין,אוטומט,זהב מטאלי,,11/2022,פרטית,פרטית,לא,לא,NaN,רכסים,
17,שברולט קרוז,2010,3,1796,"6,000 ₪",125,בנזין,אוטומט,שחור מטאלי,02/2010,02/2022,פרטית,פרטית,לא,לא,15,חיפה,
18,שברולט קאמארו,2017,2,3600,"245,000 ₪","65,000",בנזין,אוטומט,אדום,01/2017,01/2022,פרטית,ייבוא אישי,כן,לא,15,נצרת,Waked motors
19,רנו קפצ'ור,2016,1,1197,"54,000 ₪","113,000",בנזין,אוטומט,כסף מטלי,09/2016,09/2022,פרטית,,כן,לא,12,חיפה,עמית צור סוכניות רכב
20,שברולט קורבט,2021,3,6162,"695,000 ₪","15,000",בנזין,אוטומט,לבן פנינה,01/2021,,פרטית,פרטית,כן,לא,NaN,מודיעין מכבים רעות,קלאס מוביל
21,מאזדה 3,2012,2,1598,780 ₪ לחודש,"199,000",בנזין,אוטומט,לבן פנינה,04/2012,04/2022,פרטית,השכרה,כן,לא,15,נתניה,בונים הצלחות
22,ב.מ.וו סדרה 5,2012,3,2979,"98,990 ₪","160,000",בנזין,אוטומט,לבן,12/2012,,פרטית,פרטית,לא,לא,14,פתח תקווה,Jack
23,ב.מ.וו סדרה 4,2021,1,1998,"369,900 ₪","21,000",בנזין,אוטומט,שחור,,,פרטית,,כן,לא,13,חיפה,Liron Car - מכירת רכבים מיד ראשונה פרטית!
24,רנו קפצ'ור,2016,3,1197,לא צוין מחיר,"90,000",בנזין,אוטומט,כסף מטלי,08/2016,02/2022,פרטית,פרטית,כן,לא,12,ראשון לציון,אוטו שי
25,מרצדס E-Class,2021,0,1991,לא צוין מחיר,,היברידי חשמל / בנזין,אוטומט,אפור מטאלי,12/2021,01/2024,פרטית,,לא,לא,2,טמרה,בילאל
26,רנו קפצ'ור,2015,2,1197,"42,000 ₪","103,000",בנזין,אוטומט,קרם,11/2015,11/2022,פרטית,פרטית,לא,לא,13,חיפה,גיא זוהר
27,קיה סול,2015,1,1591,"62,900 ₪","79,000",בנזין,אוטומט,לבן שנהב,11/2015,11/2022,פרטית,,לא,לא,14,נתניה,מכון בדיקה אוטו טסט
28,סיטרואן C3,2021,1,1199,לא צוין מחיר,"2,300",בנזין,אוטומט,אפור מטאלי,08/2021,08/2022,פרטית,,כן,לא,7,פתח תקווה,AMIR MOTORS
29,אאודי A4,2021,1,1984,לא צוין מחיר,10,בנזין,אוטומט,שחור מטאלי,06/2021,06/2022,ליסינג,,כן,לא,14,ראשון לציון,בלו סקאי סניף מרכז
30,קיה סיד / CEED,2021,0,1598,לא צוין מחיר,,דיזל,אוטומט,לבן מטאלי,07/2021,,פרטית,,לא,לא,7,עפולה,בלו סקאי סניף צפון
31,סובארו XV,2014,1,1600,"68,500 ₪","73,000",בנזין,אוטומט,כחול,11/2014,11/2022,פרטית,,כן,לא,14,בת ים,yes car
32,יונדאי i25,2012,2,1591,"32,900 ₪","154,000",בנזין,אוטומט,לבן,04/2012,04/2022,פרטית,ליסינג,כן,לא,13,נתניה,רמי מוטורס
33,סקודה אוקטביה,2014,2,1197,לא צוין מחיר,"180,000",בנזין,אוטומט,אפור מטאלי,07/2014,06/2022,פרטית,פרטית,לא,לא,14,אבן יהודה,אוטו מרקט
34,סיטרואן C4 פיקאסו,2016,1,1598,"45,000 ₪","170,000",בנזין,אוטומט,אפור מטאלי,01/2016,01/2022,ליסינג,,כן,לא,14,ירושלים,ישראל דניאל
35,ניסאן ליף,2020,1,,לא צוין מחיר,"31,000",חשמלי,אוטומט,אפור,03/2020,03/2022,פרטית,,כן,לא,1,אזור,סנטר קאר שירותי ליסינג ומימון בעמ
36,שברולט קרוז,2010,3,1796,"6,000 ₪",125,בנזין,אוטומט,שחור מטאלי,02/2010,02/2022,פרטית,פרטית,לא,לא,15,חיפה,
37,קאדילק ATS,2019,1,1998,"191,000 ₪","25,000",בנזין,אוטומט,לבן פנינה,06/2019,06/2022,פרטית,,לא,לא,15,תל אביב יפו,
38,דודג' ג'רני,2009,4,2360,"25,000 ₪","152,000",בנזין,אוטומט,שחור,01/2009,01/2022,פרטית,פרטית,כן,לא,15,אריאל,
39,רנו קליאו דור 4 (2013-2019),2017,1,1197,לא צוין מחיר,"87,700",בנזין,אוטומט,לבן,03/2017,,פרטית,,לא,לא,10,נחף,
40,פורד מונדאו,2013,2,1999,"28,000 ₪","170,000",בנזין,אוטומט,לבן פנינה,,,פרטית,ליסינג,לא,לא,15,רמלה,
41,קיה פורטה,2010,1,1591,"19,000 ₪","194,500",בנזין,אוטומט,אפור מטאלי,11/2010,11/2022,פרטית,,לא,לא,14,חדרה,
42,מיצובישי לנסר הדור החדש,2011,2,1499,"18,000 ₪","205,000",בנזין,אוטומט,אפור עכבר,,10/2022,פרטית,פרטית,לא,לא,14,באר שבע,
43,אאודי A4,2019,1,1984,"192,000 ₪","59,000",בנזין,אוטומט,שחור מטאלי,07/2019,07/2022,פרטית,,לא,לא,9,טירת כרמל,
44,דאצ'יה לודג'י,2015,2,1197,"30,000 ₪","160,000",בנזין,ידנית,לבן,06/2015,06/2022,פרטית,ליסינג,לא,לא,12,אבן שמואל,
45,פורד פוקוס,2014,3,1596,לא צוין מחיר,"114,000",בנזין,אוטומט,כסוף,,04/2022,פרטית,פרטית,לא,לא,NaN,ראשון לציון,
46,סוזוקי סוויפט,2008,3,1490,"23,000 ₪","160,000",בנזין,אוטומט,שחור,09/2008,09/2022,פרטית,פרטית,לא,לא,14,אשדוד,
47,סקודה אוקטביה,2017,2,1197,"59,000 ₪","145,000",בנזין,אוטומט,כסוף מטאלי,01/2017,01/2022,פרטית,ליסינג,לא,לא,9,מג'דל שמס,
48,רנו פלואנס,2011,4,1598,"15,000 ₪","250,000",בנזין,אוטומט,כסוף,08/2011,08/2022,פרטית,פרטית,לא,לא,15,חדרה,
49,טויוטה יאריס,2016,3,1329,לא צוין מחיר,"118,000",בנזין,אוטומט,אפור מטאלי,,04/2022,פרטית,פרטית,לא,לא,7,תל אביב יפו,
50,שברולט קרוז,2013,2,1598,"13,000 ₪","118,000",בנזין,אוטומט,כסוף מטאלי,01/2013,01/2022,פרטית,ליסינג,לא,לא,14,רחובות,
51,מאזדה MPV,2001,3,2498,"5,000 ₪","345,000",בנזין,אוטומט,ירוק מטאלי,,07/2022,פרטית,פרטית,לא,לא,NaN,ירושלים,
52,יונדאי i30,2008,3,1591,"19,000 ₪","162,962",בנזין,אוטומט,אפור מטאלי,,12/2022,פרטית,פרטית,לא,לא,14,רחובות,
53,סיאט איביזה,2012,1,1390,"35,000 ₪","90,000",בנזין,ידנית,לבן פנינה,,04/2022,פרטית,,לא,לא,14,אשקלון,
54,ב.מ.וו סדרה 4,2021,1,1998,"369,900 ₪","21,000",בנזין,אוטומט,שחור,,,פרטית,,כן,לא,13,חיפה,Liron Car - מכירת רכבים מיד ראשונה פרטית!
55,רנו קפצ'ור,2016,3,1197,לא צוין מחיר,"90,000",בנזין,אוטומט,כסף מטלי,08/2016,02/2022,פרטית,פרטית,כן,לא,12,ראשון לציון,אוטו שי
56,מרצדס E-Class,2021,0,1991,לא צוין מחיר,,היברידי חשמל / בנזין,אוטומט,אפור מטאלי,12/2021,01/2024,פרטית,,לא,לא,2,טמרה,בילאל
57,רנו קפצ'ור,2015,2,1197,"42,000 ₪","103,000",בנזין,אוטומט,קרם,11/2015,11/2022,פרטית,פרטית,לא,לא,13,חיפה,גיא זוהר
58,קיה סול,2015,1,1591,"62,900 ₪","79,000",בנזין,אוטומט,לבן שנהב,11/2015,11/2022,פרטית,,לא,לא,14,נתניה,מכון בדיקה אוטו טסט
59,סיטרואן C3,2021,1,1199,לא צוין מחיר,"2,300",בנזין,אוטומט,אפור מטאלי,08/2021,08/2022,פרטית,,כן,לא,7,פתח תקווה,AMIR MOTORS
60,אאודי A4,2021,1,1984,לא צוין מחיר,10,בנזין,אוטומט,שחור מטאלי,06/2021,06/2022,ליסינג,,כן,לא,14,ראשון לציון,בלו סקאי סניף מרכז
61,קיה סיד / CEED,2021,0,1598,לא צוין מחיר,,דיזל,אוטומט,לבן מטאלי,07/2021,,פרטית,,לא,לא,7,עפולה,בלו סקאי סניף צפון
62,סובארו XV,2014,1,1600,"68,500 ₪","73,000",בנזין,אוטומט,כחול,11/2014,11/2022,פרטית,,כן,לא,14,בת ים,yes car
63,יונדאי i25,2012,2,1591,"32,900 ₪","154,000",בנזין,אוטומט,לבן,04/2012,04/2022,פרטית,ליסינג,כן,לא,13,נתניה,רמי מוטורס
64,סקודה אוקטביה,2014,2,1197,לא צוין מחיר,"180,000",בנזין,אוטומט,אפור מטאלי,07/2014,06/2022,פרטית,פרטית,לא,לא,14,אבן יהודה,אוטו מרקט
65,סיטרואן C4 פיקאסו,2016,1,1598,"45,000 ₪","170,000",בנזין,אוטומט,אפור מטאלי,01/2016,01/2022,ליסינג,,כן,לא,14,ירושלים,ישראל דניאל
66,ניסאן ליף,2020,1,,לא צוין מחיר,"31,000",חשמלי,אוטומט,אפור,03/2020,03/2022,פרטית,,כן,לא,1,אזור,סנטר קאר שירותי ליסינג ומימון בעמ
67,קיה פיקנטו,2017,1,1248,"44,000 ₪","110,000",בנזין,אוטומט,כסוף מטאלי,,02/2022,פרטית,,לא,לא,9,נתניה,איציק כהן
68,פיג'ו 3008,2019,1,1199,לא צוין מחיר,"160,000",בנזין,אוטומט,אפור,,,ליסינג,,לא,לא,11,חיפה,ס.א קאר 2018
69,יונדאי i35,2015,2,1591,לא צוין מחיר,"88,000",בנזין,אוטומט,תכלת מטאלי,02/2015,02/2022,פרטית,פרטית,לא,לא,14,בני ברק,רכבים לאחר בדיקה/ענק הטרייד אין
70,סיאט איביזה,2014,2,1197,999 ₪ לחודש,"190,000",בנזין,אוטומט,לבן מטאלי,12/2014,12/2022,פרטית,פרטית,כן,לא,11,עפולה,עדן קאר
71,טויוטה אוריס הייבריד,2016,1,1798,"58,000 ₪","158,000",בנזין,אוטומט,לבן שנהב,11/2016,11/2022,פרטית,,לא,לא,3,הרצליה,ארי
72,סיטרואן C3,2021,1,1199,לא צוין מחיר,"4,000",בנזין,אוטומט,אדום מטאלי,05/2021,05/2022,פרטית,,לא,לא,7,קרית גת,
