,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
0,טויוטה קורולה הייבריד,2020,1,1798,לא צוין מחיר,"68,000",בנזין,אוטומט,תכלת מטאלי,07/2020,07/2022,פרטית,לא,לא,3,ירושלים,,
1,סיאט אטקה,2018,2,1395,"130,000 ₪","53,000",בנזין,אוטומט,כסוף מטאלי,08/2018,08/2022,פרטית,לא,כן,14,עזריה,פרטית,
2,ניסאן קשקאי,2008,5,1997,"30,000 ₪","181,000",בנזין,אוטומט,ברונזה מטאלי,,,פרטית,לא,לא,15,ירושלים,פרטית,
3,סיאט איביזה,2017,1,999,"89,000 ₪","55,000",בנזין,אוטומט,לבן שנהב,11/2017,11/2022,פרטית,לא,לא,5,הרצליה,,
4,דודג' ג'רני,2009,3,2360,"20,000 ₪","210,000",בנזין,אוטומט,לבן,09/2009,09/2022,פרטית,לא,לא,15,ראשון לציון,פרטית,
5,טויוטה קורולה,2014,2,1598,"70,000 ₪","65,000",בנזין,אוטומט,לבן פנינה,04/2014,04/2022,פרטית,לא,לא,11,חריש,פרטית,
6,רנו לטיטוד,2013,3,1995,"33,000 ₪","176,000",דיזל,אוטומט,בז' מטאלי,10/2013,10/2022,פרטית,לא,לא,15,גן יבנה,פרטית,
7,רנו מגאן גראנד קופה,2018,2,1461,"85,000 ₪","113,000",דיזל,אוטומט,לבן,08/2018,08/2023,פרטית,לא,לא,7,ביר אל מכסור,פרטית,
8,סוזוקי אלטו,2011,6,996,"9,300 ₪","183,000",בנזין,ידנית,טורקיז,03/2011,03/2022,פרטית,לא,לא,9,ירושלים,פרטית,
9,ב.מ.וו סדרה 3,2017,3,1499,"124,000 ₪","58,000",בנזין,אוטומט,שחור,03/2017,03/2022,פרטית,לא,לא,14,ירושלים,פרטית,
10,יונדאי i35,2014,1,1591,"42,500 ₪","166,000",בנזין,אוטומט,כסוף מטאלי,04/2014,04/2022,פרטית,לא,לא,14,אום אל פחם,,
11,האמר H3,2006,2,3460,"125,000 ₪","167,000",בנזין,אוטומט,כסוף מטאלי,10/2006,10/2022,פרטית,לא,לא,NaN,ירושלים,פרטית,
12,סקודה פאביה ספייס,2016,2,1197,"38,000 ₪","150,000",בנזין,אוטומט,כסף מטלי,08/2016,08/2022,פרטית,לא,לא,6,קרית שמונה,פרטית,
13,יונדאי איוניק,2018,1,1580,"79,000 ₪","125,000",בנזין,אוטומט,לבן,09/2018,09/2022,ליסינג,כן,לא,NaN,חדרה,,כפיר עסקי רכב
14,סובארו B3 סדאן,2009,3,1498,"4,999 ₪","218,000",בנזין,אוטומט,אדום מטאלי,11/2009,,פרטית,לא,לא,15,ביתר עילית,פרטית,
15,טויוטה ורסו,2012,3,1798,"44,000 ₪","235,000",בנזין,אוטומט,כסוף מטאלי,02/2012,02/2022,פרטית,לא,לא,14,אשדוד,פרטית,
16,קיה פורטה,2010,3,1591,"21,000 ₪","207,000",בנזין,אוטומט,כסוף,12/2010,12/2022,פרטית,כן,לא,14,להבים,פרטית,
17,ניסאן מיקרה,2014,2,1198,"24,000 ₪","170,000",בנזין,אוטומט,לבן,,03/2022,פרטית,לא,לא,5,אשדוד,פרטית,
18,אאודי Q2,2018,1,1395,"115,000 ₪","60,000",בנזין,אוטומט,צהוב מטאלי,02/2018,02/2022,פרטית,לא,לא,13,הרצליה,,
19,פולקסווגן ג'טה,2008,3,1984,"19,900 ₪","186,000",בנזין,אוטומט,לבן,04/2008,,פרטית,כן,לא,NaN,חיפה,פרטית,נקסט קאר
20,סיאט איביזה,2017,2,999,899 ₪ לחודש,"70,000",בנזין,אוטומט,שחור מטאלי,06/2017,06/2022,פרטית,כן,לא,5,עפולה,פרטית,עדן קאר
21,אינפיניטי QX30,2019,1,1991,"178,000 ₪","86,000",בנזין,אוטומט,לבן פנינה,07/2019,07/2022,פרטית,לא,לא,15,פתח תקווה,,פרפקט קאר
22,ניסאן אקס טרייל,2018,2,1598,"136,500 ₪","120,000",דיזל,אוטומט,לבן פנינה,06/2018,06/2022,פרטית,כן,לא,14,בת ים,פרטית,yes car
23,קיה סלטוס,2020,1,1999,לא צוין מחיר,"11,000",בנזין,אוטומט,שחור,11/2020,12/2021,פרטית,כן,לא,14,ראשון לציון,,אוטו שי
24,מאזדה 2,2009,4,1498,700 ₪ לחודש,"178,000",בנזין,אוטומט,שחור,01/2009,01/2022,פרטית,כן,לא,14,נתניה,פרטית,בונים הצלחות
25,קיה פיקנטו,2015,2,1248,"37,500 ₪","70,000",בנזין,ידנית,אדום מטאלי,07/2015,07/2022,פרטית,כן,לא,9,רעננה,פרטית,ג'יי. קיי. קאר
26,רנו פלואנס,2016,2,1461,"27,000 ₪","260,000",דיזל,אוטומט,לבן,09/2016,,פרטית,לא,לא,15,ראשון לציון,מונית,גמרו מוטורס
27,יונדאי אקסנט/ i25 החדשה (2019 ואילך),2020,1,1591,"95,900 ₪","34,000",בנזין,אוטומט,שחור,08/2020,08/2023,פרטית,כן,לא,14,ראשון לציון,,אוטו רומי
28,רנו פלואנס,2012,2,1461,"17,999 ₪",,דיזל,אוטומט,,,,פרטית,לא,לא,15,חדרה,ליסינג,בן ברק
29,פורד מוסטנג MACH E,2021,0,,לא צוין מחיר,,חשמלי,אוטומט,לבן פנינה,08/2021,08/2022,פרטית,כן,לא,1,תל אביב יפו,,עלית מוטורס ישראל בעמ
30,רנו קליאו אסטייט,2017,2,1197,"31,500 ₪","150,000",בנזין,אוטומט,לבן,01/2017,01/2022,פרטית,כן,לא,10,תל אביב יפו,ליסינג,ניר פשדנובק
31,הונדה סיוויק סדאן החדשה,2019,1,1597,"78,000 ₪","114,000",בנזין,אוטומט,אפור מטאלי,05/2019,05/2022,ליסינג,לא,לא,8,רחובות,,אוטו קאר סנטר 2005 בעמ
32,מאזדה 3,2021,2,1998,"124,000 ₪","18,000",בנזין,אוטומט,שחור מטאלי,06/2021,05/2022,פרטית,לא,לא,11,פתח תקווה,פרטית,לוי אוטוטרייד בעמ
33,קיה ריו,2016,2,1396,"43,300 ₪","113,000",בנזין,אוטומט,לבן,09/2016,09/2022,פרטית,כן,לא,14,מודיעין מכבים רעות,ליסינג,עלית קאר
34,שברולט קאמארו,2021,1,6162,לא צוין מחיר,"10,000",בנזין,אוטומט,לבן,05/2021,,פרטית,כן,לא,15,נתניה,,4 גלגלים
35,שברולט ספארק,2012,2,1206,לא צוין מחיר,"134,000",בנזין,ידנית,ירוק מטאלי,04/2012,04/2022,פרטית,כן,לא,7,חיפה,פרטית,איתן קאר״ס
36,מאזדה 6,2004,8,1999,"4,900 ₪","161,000",בנזין,אוטומט,כסף מטלי,,,פרטית,לא,לא,NaN,נתניה,פרטית,וי מוטורס
37,אאודי RS3,2017,2,2480,"255,000 ₪","60,000",בנזין,אוטומט,כחול מטאלי,04/2017,04/2022,פרטית,לא,לא,15,תל אביב יפו,פרטית,
38,ניסאן אקס טרייל,2018,1,1598,"130,000 ₪","86,000",דיזל,אוטומט,שחור מטאלי,11/2018,11/2022,פרטית,לא,לא,14,רחובות,,
39,טויוטה יאריס,2006,3,1298,"18,500 ₪","151,000",בנזין,אוטומט,כחול בהיר מטאלי,,05/2022,פרטית,לא,לא,NaN,חיפה,פרטית,
40,אאודי Q5,2017,1,1984,"169,000 ₪","125,000",בנזין,אוטומט,שחור,01/2017,01/2022,פרטית,לא,לא,15,חיפה,,
41,ניסאן אקס טרייל,2016,2,1598,"100,000 ₪","125,000",דיזל,אוטומט,לבן פנינה,09/2016,09/2022,פרטית,לא,לא,14,אור עקיבא,פרטית,
42,קיה ספורטז',2016,1,1591,"80,000 ₪","96,000",בנזין,אוטומט,שחור,01/2016,,פרטית,לא,לא,15,ראש העין,,
43,פולקסווגן פולו,2015,1,1197,"50,000 ₪","100,000",בנזין,אוטומט,שחור מטאלי,11/2015,11/2022,פרטית,לא,לא,6,גבעת זאב,,
