,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
34,סוזוקי בלנו,1996,2,1590,"3,500 ₪","226,000",בנזין,אוטומט,טורקיז,08/1996,02/2022,פרטית,פרטית,כן,לא,NaN,ירושלים,
35,ב.מ.וו סדרה 4,2018,2,2998,"325,000 ₪","27,000",בנזין,אוטומט,שחור מטאלי,,10/2022,פרטית,פרטית,לא,לא,15,נחף,
36,אאודי A5,2014,4,1798,"100,000 ₪",161,בנזין,אוטומט,שחור,10/2014,12/2022,פרטית,פרטית,לא,לא,14,טמרה,
37,מיצובישי גרנדיס,2005,4,2378,"11,000 ₪","309,000",בנזין,אוטומט,סגול מטאלי,,12/2021,פרטית,פרטית,לא,לא,15,קרית ארבע,
38,סקודה ייטי / Yeti,2012,3,1197,"25,000 ₪","220,000",בנזין,ידנית,תכלת מטאלי,12/2012,12/2022,פרטית,פרטית,לא,לא,15,ראשון לציון,
39,ניסאן ג'וק / Juke,2012,3,1598,"29,000 ₪","158,500",בנזין,אוטומט,שחור מטאלי,03/2012,03/2022,פרטית,פרטית,לא,לא,15,ירושלים,
40,פיג'ו 3008,2018,1,1499,לא צוין מחיר,"130,000",דיזל,אוטומט,שחור מטאלי,08/2018,08/2022,פרטית,,לא,לא,10,נתיב העשרה,
41,רנו זואי,2019,2,,"90,000 ₪","85,000",חשמלי,אוטומט,לבן פנינה,01/2019,01/2023,פרטית,פרטית,לא,לא,1,ירושלים,
42,מאזדה 5,2009,3,1999,"37,000 ₪","126,000",בנזין,אוטומט,אפור מטאלי,10/2009,10/2022,פרטית,חברה,לא,לא,15,אלעד,
43,ב.מ.וו X4,2016,3,1997,"196,000 ₪","70,000",בנזין,אוטומט,לבן,02/2016,02/2022,פרטית,פרטית,לא,לא,15,נתניה,
44,רנו קליאו אסטייט,2014,3,1197,"24,900 ₪","97,500",בנזין,אוטומט,לבן,11/2014,11/2022,פרטית,פרטית,לא,לא,11,מעלות תרשיחא,
45,סקודה אוקטביה,2017,2,1395,"83,000 ₪","100,000",בנזין,אוטומט,כסוף מטאלי,10/2017,10/2022,ליסינג,ליסינג,לא,לא,11,באר שבע,
46,מאזדה 3,2008,4,1999,"15,000 ₪","200,000",בנזין,אוטומט,סגול חציל,01/2008,,פרטית,פרטית,כן,לא,15,בית שמש,
47,יונדאי i35,2015,5,1591,"46,000 ₪","188,000",בנזין,אוטומט,כסף מטלי,05/2015,04/2022,פרטית,פרטית,כן,לא,14,ערד,
48,סובארו אימפרזה ניו אייג',2005,5,1597,"5,500 ₪","300,000",בנזין,אוטומט,אפור,,04/2022,פרטית,השכרה,לא,לא,NaN,קרית טבעון,
49,ב.מ.וו X6,2020,2,2993,"540,000 ₪","13,000",דיזל,אוטומט,שחור,07/2020,07/2022,פרטית,פרטית,כן,לא,15,מעלה עירון,
50,אופל אסטרה,2017,1,1399,"53,000 ₪","128,000",בנזין,אוטומט,לבן מטאלי,10/2017,10/2022,ליסינג,,כן,לא,10,כפר יונה,מוטודיל
51,מאזדה 3,2007,6,1598,"9,000 ₪","200,000",בנזין,אוטומט,כסוף,06/2007,06/2022,פרטית,פרטית,לא,לא,15,ירושלים,
52,סקודה פאביה,2012,2,1197,לא צוין מחיר,"107,500",בנזין,אוטומט,פלטינה,01/2012,01/2023,פרטית,פרטית,לא,לא,14,ירושלים,
